Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Eline	29.05.2018	2018	May	May_18	Outlet	LMW		4		-0.93	-0.00000093	-0.01116				-0.002868895	-8						3.89	4.75	10.29	19.1	1.4																	
Eline	29.05.2018	2018	May	May_18	Outlet	HMW	Outlet HMW	1		-1.02	-0.00000102	-0.01224	-0.0114	-0.0014688	-3.7	-0.001553299	-9	-0.001447	0.000266		-18	40	7.88	4.61	16.75	18.2					0.349	0.245666667	0.026	0.041	0.001	4.42893401	5.203045685	8.512195122	13.42307692	3.117597297	0.703916			3.117597293
Eline	29.05.2018	2018	May	May_18	Outlet	HMW		2		-1.02	-0.00000102	-0.01224		-0.0014688	-3.7	-0.001553299	-9						7.88	4.61	16.75	18.2	10.5																	
Eline	29.05.2018	2018	May	May_18	Outlet	HMW		3		-1.07	-0.00000107	-0.01284		-0.0015408	-3.9	-0.001629442	-9						7.88	4.61	16.75	18.2	10.5																	
Eline	29.05.2018	2018	May	May_18	Outlet	HMW		4		-0.69	-0.00000069	-0.00828		-0.0009936	-2.5	-0.001050761	-6						7.88	4.61	16.75	18.2	10.5																	
Eline		2018	May	May_18	Hypolimnion	Bulk	Hypo Bulk	1		-0.42	-0.00000042	-0.00504	-0.00525			-0.000539557	-4	-0.000562	0.000254		-45		9.3	3.35	12.88	19	2.6				0.401	0.286333333	0.0853	0.0437	0	4.445676275	4.844789357	9.176201373	4.7010551	3.174427195	0.714642	0.288248337		3.174427199
Eline		2018	May	May_18	Hypolimnion	Bulk		2		-0.7	-0.0000007	-0.0084				-0.000899261	-6						9.3	3.35	12.88	19	2.6																	
Eline		2018	May	May_18	Hypolimnion	Bulk		3		-0.41	-0.00000041	-0.00492				-0.00052671	-4						9.3	3.35	12.88	19	2.6																	
Eline		2018	May	May_18	Hypolimnion	Bulk		4		-0.22	-0.00000022	-0.00264				-0.000282625	-2						9.3	3.35	12.88	19	2.6																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	LMW	Hypo LMW	1		-0.4	-0.0000004	-0.0048	-0.00504			-0.000875912	-4	-0.00092	0.000103		-11	25	5.48	3.31	120.2	20.2	1.5				0.198	0.137	0.038	0.019	0.002	3.613138686	3.467153285	10.42105263	5.210526316	2.5	0.719844	0.273722628		2.5
Eline	29.05.2018	2018	May	May_18	Hypolimnion	LMW		2		-0.48	-0.00000048	-0.00576				-0.001051095	-4						5.48	3.31	120.2	20.2	1.5																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	LMW		3		-0.43	-0.00000043	-0.00516				-0.000941606	-4						5.48	3.31	120.2	20.2	1.5																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	LMW		4		-0.37	-0.00000037	-0.00444				-0.000810219	-3						5.48	3.31	120.2	20.2	1.5																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	HMW	Hypo HMW	1		NA			-0.01552	0	0			-0.001607	0.000288		-18	44	9.66	3.19	15.36	18.2	3.1				0.428333333	0.308333333	0.0963	0.052	0.006	4.434092474	5.383022774	8.237179481	4.447905846	3.191856449	0.691919	0.320910973		3.191856453
Eline	29.05.2018	2018	May	May_18	Hypolimnion	HMW		2		-1.14	-0.00000114	-0.01368		-0.0016416	-3.4	-0.001416149	-10						9.66	3.19	15.36	18.2	3.1																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	HMW		3		-1.56	-0.00000156	-0.01872		-0.0022464	-4.7	-0.001937888	-14						9.66	3.19	15.36	18.2	3.1																	
Eline	29.05.2018	2018	May	May_18	Hypolimnion	HMW		4		-1.18	-0.00000118	-0.01416		-0.0016992	-3.5	-0.001465839	-10						9.66	3.19	15.36	18.2	3.1																	
Eline		2018	September	September_18	Inlet	Bulk	Inlet Bulk	1		-0.44	-0.00000044	-0.00528	-0.00459			-0.00029257	-1	-0.000254	0.00011		-43		18	3.35		11.7	4.5				0.731	0.529	0.159	0.082	0.0053	4.301764706	4.842941176	8.882545852	4.599371069	3.111764706	0.723336	0.264705882		3.111764706
Eline		2018	September	September_18	Inlet	Bulk		2		-0.59	-0.00000059	-0.00708				-0.000392309	-2						18	3.35		11.7	4.5																	
Eline		2018	September	September_18	Inlet	Bulk		3		-0.26	-0.00000026	-0.00312				-0.000172882	-1						18	3.35		11.7	4.5																	
Eline		2018	September	September_18	Inlet	Bulk		4		-0.24	-0.00000024	-0.00288				-0.000159584	-1						18	3.35		11.7	4.5																	
Eline	20.09.2018	2018	September	September_18	Inlet	LMW	Inlet LMW	1		-1.98	-0.00000198	-0.02376	-0.019			-0.00297	-17	-0.002375	0.000699		-29	100	8	3.36		13.5	1.4				0.273	0.189666667	0.05	0.025	0.001	3.4125	3.08375	11.06607215	5.46	2.370833338	0.69475	0.175		2.370833333
Eline	20.09.2019	2018	September	September_18	Inlet	LMW		2		-1.7	-0.0000017	-0.0204				-0.00255	-15						8	3.36		13.5	1.4																	
Eline	20.09.2019	2018	September	September_18	Inlet	LMW		3		-1.07	-0.00000107	-0.01284				-0.001605	-9						8	3.36		13.5	1.4																	
Eline	20.09.2019	2018	September	September_18	Inlet	LMW		4		NA													8	3.36		13.5	1.4																	
Eline	20.09.2018	2018	September	September_18	Inlet	HMW	Inlet HMW	1		-0.83	-0.00000083	-0.00996	-0.00636	-0.0011952	-1.4	-0.000569143	-7	-0.000363	0.000139		-38	15	17.5	3.38		12.5	2.8				0.764	0.553333333	0.162	0.086	0.007	4.365714286	4.895428571	8.917940936	4.716049383	3.16190476	0.723942	0.16		3.161904762
Eline	20.09.2019	2018	September	September_18	Inlet	HMW		2		-0.47	-0.00000047	-0.00564		-0.0006768	-0.8	-0.000322286	-4						17.5	3.38		12.5	2.8																	
Eline	20.09.2019	2018	September	September_18	Inlet	HMW		3		-0.39	-0.00000039	-0.00468		-0.0005616	-0.6	-0.000267429	-3						17.5	3.38		12.5	2.8																	
Eline	20.09.2019	2018	September	September_18	Inlet	HMW		4		-0.43	-0.00000043	-0.00516		-0.0006192	-0.7	-0.000294857	-4						17.5	3.38		12.5	2.8																	
Eline		2018	September	September_18	Outlet	Bulk	Outlet Bulk	1		-2.42E-01	-0.000000242	-0.002904	-0.003132			-0.000230476	-2	-0.000249	0.000031		-12		12.6	3.4		11.8	4.2				0.544	0.385666667	0.115	0.06	0.005	4.317460317	4.788095238	9.017072766	4.730434783	3.060846563	0.708512	0.333333333		3.060846561
Eline		2018	September	September_18	Outlet	Bulk		2		-2.32E-01	-0.000000232	-0.002784				-0.000220952	-2						12.6	3.4		11.8	4.2																	
Eline		2018	September	September_18	Outlet	Bulk		3		-2.65E-01	-0.000000265	-0.00318				-0.000252381	-6						12.6	3.4		11.8	4.2																	
Eline		2018	September	September_18	Outlet	Bulk		4		-3.05E-01	-0.000000305	-0.00366				-0.000290476	-2						12.6	3.4		11.8	4.2																	
Eline	20.09.2018	2018	September	September_18	Outlet	LMW	Outlet LMW	1		-1.5	-0.0000015	-0.018	-0.01218			-0.002608696	-13	-0.001765	0.001332		-75	74	6.9	3.56		13	0.5				0.235	0.16	0.042	0.021	0.002	3.405797101	2.995652174	11.36913401	5.595238095	2.31884058	0.680851	0.072463768		2.31884058
Eline	20.09.2019	2018	September	September_18	Outlet	LMW		2		-0.09	-0.00000009	-0.00108				-0.000156522	-1						6.9	3.56		13	0.5																	
Eline	20.09.2019	2018	September	September_18	Outlet	LMW		3		-1.77	-0.00000177	-0.02124				-0.003078261	-16						6.9	3.56		13	0.5																	
Eline	20.09.2019	2018	September	September_18	Outlet	LMW		4		-0.7	-0.0000007	-0.0084				-0.001217391	-6						6.9	3.56		13	0.5																	
Eline	20.09.2018	2018	September	September_18	Outlet	HMW	Outlet HMW	1		-0.21	-0.00000021	-0.00252	-0.00198	-0.0003024	-0.4	-0.000186667	-2	-0.000147	0.000029		-20	6	13.5	3.24		12.1	3				0.571	0.405333333	0.121	0.064	0.006	4.231851852	4.765185185	8.880771024	4.721487603	3.002469133	0.709452	0.222222222		3.002469136
Eline	20.09.2019	2018	September	September_18	Outlet	HMW		2		-0.14	-0.00000014	-0.00168		-0.0002016	-0.3	-0.000124444	-1						13.5	3.24		12.1	4.5																	
Eline	20.09.2019	2018	September	September_18	Outlet	HMW		3		-0.17	-0.00000017	-0.00204		-0.0002448	-0.4	-0.000151111	-1						13.5	3.24		12.1	4.5																	
Eline	20.09.2019	2018	September	September_18	Outlet	HMW		4		-0.14	-0.00000014	-0.00168		-0.0002016	-0.3	-0.000124444	-1						13.5	3.24		12.1	4.5																	
Eline		2018	September	September_18	Hypolimnion	Bulk	Hypo Bulk	1		-2.47E-01	-0.000000247	-0.002964	-0.002376			-0.000305252	-1	-0.000245	0.000061		-25		9.71	3.27		14.2	2.9				0.4387	0.315	0.136	0.05267	0.006	4.518022657	5.42430484	8.32921967	3.225735294	3.24407827	0.718085	0.298661174		3.24407827
Eline		2018	September	September_18	Hypolimnion	Bulk		2		-2.05E-01	-0.000000205	-0.00246				-0.000253347	-2						9.71	3.27		14.2	2.9																	
Eline		2018	September	September_18	Hypolimnion	Bulk		3		-2.11E-01	-0.000000211	-0.002532				-0.000260762	-1						9.71	3.27		14.2	2.9																	
Eline		2018	September	September_18	Hypolimnion	Bulk		4		-1.29E-01	-0.000000129	-0.001548				-0.000159423	-1						9.71	3.27		14.2	2.9																	
Eline	20.09.2018	2018	September	September_18	Hypolimnion	LMW	Hypo LMW	1		-0.66	-0.00000066	-0.00792	-0.00819			-0.001653445	-6	-0.00171	0.000172		-10	72	4.79	3.36		15.6	0.5				0.165	0.113	0.029	0.01433	0.001	3.444676409	2.991649269	11.51430565	5.689655172	2.35908142	0.684848	0.104384134		2.35908142
Eline	20.09.2018	2018	September	September_18	Hypolimnion	LMW		2		-0.78	-0.00000078	-0.00936				-0.001954071	-7						4.79	3.36		15.6																		
Eline	20.09.2018	2018	September	September_18	Hypolimnion	LMW		3		-0.67	-0.00000067	-0.00804				-0.001678497	-6						4.79	3.36		15.6																		
Eline	20.09.2018	2018	September	September_18	Hypolimnion	LMW		4		-0.62	-0.00000062	-0.00744				-0.001553236	-5						4.79	3.36		15.6																		
Eline	20.09.2018	2018	September	September_18	Hypolimnion	HMW	Hypo HMW	1		-0.41	-0.00000041	-0.00492	-0.0033	-0.0005904	-1.2	-0.0005125	-4	-0.000344	0.000145		-42	14	9.6	3.18		14.7	3.7				0.458	0.329	0.102	0.055	0.005	4.770833333	5.729166667	8.327272727	4.490196078	3.427083333	0.718341	0.385416667		3.427083333
Eline	20.09.2018	2018	September	September_18	Hypolimnion	HMW		2		-0.2	-0.0000002	-0.0024		-0.000288	-0.6	-0.00025	-2						9.6	3.18		14.7	4.2																	
Eline	20.09.2018	2018	September	September_18	Hypolimnion	HMW		3		-0.33	-0.00000033	-0.00396		-0.0004752	-1	-0.0004125	-3						9.6	3.18		14.7	4.2																	
Eline	20.09.2018	2018	September	September_18	Hypolimnion	HMW		4		-0.16	-0.00000016	-0.00192		-0.0002304	-0.5	-0.0002	-1						9.6	3.18		14.7	4.2																	
Eline		2018	October	October_18	Inlet	Bulk	Inlet Bulk	1		NA			-0.00366					-0.000238	0.000061		-26		15.4	4.26	19.75	15.2	3.4				0.707	0.515	0.162	0.087	0.007	4.590909091	5.649350649	8.126436782	4.364197531	3.344155844	0.72843	0.220779221		3.344155844
Eline		2018	October	October_18	Inlet	Bulk		2		-0.36	-0.00000036	-0.00432				-0.000280702	-3						15.4	4.26		15.2	3.4																	
Eline		2018	October	October_18	Inlet	Bulk		3		-0.25	-0.00000025	-0.003				-0.000194932	-2						15.4	4.26		15.2	3.4																	
Eline		2018	October	October_18	Inlet	Bulk		4		NA													15.4	4.26		15.2	3.4																	
Eline	17.10.2018	2018	October	October_18	Inlet	LMW	Inlet LMW	1		-0.06	-0.00000006	-0.00072	-0.00066			-0.000138462	-1	-0.000127	0.000013		-10	17	5.2	4.47	13.58	13.7	0.4				0.175	0.119333333	0.032	0.016	0	3.365384615	3.076923077	10.9375	5.46875	2.294871788	0.681905	0.076923077		2.294871795
Eline	17.10.2018	2018	October	October_18	Inlet	LMW		2		-0.06	-0.00000006	-0.00072				-0.000138462	-1						5.2	4.47		13.7	0.4																	
Eline	17.10.2018	2018	October	October_18	Inlet	LMW		3		-0.05	-0.00000005	-0.0006				-0.000115385	0						5.2	4.47		13.7	0.4																	
Eline	17.10.2018	2018	October	October_18	Inlet	LMW		4		-0.05	-0.00000005	-0.0006				-0.000115385	0						5.2	4.47		13.7	0.4																	
Eline	17.10.2018	2018	October	October_18	Inlet	HMW	Inlet HMW	1		-0.32	-0.00000032	-0.00384	-0.00459	-0.0004608	-0.5	-0.000212155	-3	-0.000254	0.000062		-24	33	18.1	4.3	25.5	13.5	2.8				0.863	0.629333333	0.198	0.105	0.008	4.767955801	5.819337017	8.193297256	4.358585859	3.47697974	0.728958	0.154696133		3.476979742
Eline	17.10.2018	2018	October	October_18	Inlet	HMW		2		-0.52	-0.00000052	-0.00624		-0.0007488	-0.8	-0.000344751	-5						18.1	4.3		13.5	2.8																	
Eline	17.10.2018	2018	October	October_18	Inlet	HMW		3		-0.33	-0.00000033	-0.00396		-0.0004752	-0.5	-0.000218785	-3						18.1	4.3		13.5	2.8																	
Eline	17.10.2018	2018	October	October_18	Inlet	HMW		4		-0.36	-0.00000036	-0.00432		-0.0005184	-0.6	-0.000238674	-3						18.1	4.3		13.5	2.8																	
Eline		2018	October	October_18	Outlet	Bulk	Outlet Bulk	1		-0.77	-0.00000077	-0.00924	-0.00804			-0.000716279	-7	-0.000623	0.000326		-52		12.9	3.7	37.9	15.3	3.6				0.565	0.4015	0.126	0.068	0.007	4.379844961	5.271317829	8.308823529	4.484126984	3.112403101	0.710619	0.279069767		3.112403101
Eline		2018	October	October_18	Outlet	Bulk		2		-0.28	-0.00000028	-0.00336				-0.000260465	-2						12.9	3.7		15.3	3.6																	
Eline		2018	October	October_18	Outlet	Bulk		3		-0.96	-0.00000096	-0.01152				-0.000893023	-8						12.9	3.7		15.3	3.6																	
Eline		2018	October	October_18	Outlet	Bulk		4		NA													12.9	3.7		15.3	3.6																	
Eline	17.10.2018	2018	October	October_18	Outlet	LMW	Outlet LMW	1		-0.33	-0.00000033	-0.00396	-0.00318			-0.00061875	-3	-0.000497	0.000094		-19	65	6.4	3.9	33.6	14.1	0.4				0.237	0.159666667	0.043	0.021	0.001	3.697921875	3.28125	11.26985714	5.503883721	2.494791672	0.674648	0.0625		2.494791667
Eline	17.10.2018	2018	October	October_18	Outlet	LMW		2		-0.21	-0.00000021	-0.00252				-0.00039375	-2						6.4	3.9		14.1	0.4																	
Eline	17.10.2018	2018	October	October_18	Outlet	LMW		3		-0.27	-0.00000027	-0.00324				-0.00050625	-2						6.4	3.9		14.1	0.4																	
Eline	17.10.2018	2018	October	October_18	Outlet	LMW		4		-0.25	-0.00000025	-0.003				-0.00046875	-2						6.4	3.9		14.1	0.4																	
Eline	17.10.2018	2018	October	October_18	Outlet	HMW	Outlet HMW	1		-0.26	-0.00000026	-0.00312	-0.0024	-0.0003744	-0.5	-0.000221277	-2	-0.00017	0.00005		-29	22	14.1	4.01	29.9	13.6	3.7				0.623	0.443666667	0.14	0.076	0.007	4.418439716	5.390070922	8.197368421	4.45	3.146572106	0.712146	0.262411348		3.146572104
Eline	17.10.2018	2018	October	October_18	Outlet	HMW		2		-0.14	-0.00000014	-0.00168		-0.0002016	-0.3	-0.000119149	-1						14.1	4.01		13.6	3.7																	
Eline	17.10.2018	2018	October	October_18	Outlet	HMW		3		-0.16	-0.00000016	-0.00192		-0.0002304	-0.3	-0.00013617	-1						14.1	4.01		13.6	3.7																	
Eline	17.10.2018	2018	October	October_18	Outlet	HMW		4		-0.24	-0.00000024	-0.00288		-0.0003456	-0.5	-0.000204255	-2						14.1	4.01		13.6	3.7																	
Eline		2018	October	October_18	Hypolimnion	Bulk	Hypo Bulk	1		-1.01	-0.00000101	-0.01212	-0.00624			-0.000994258	-9	-0.000512	0.000421		-82		12.2	4.12	29.2	16.9	3.3				0.5686667	0.405	0.128	0.071333	0.009	4.661202459	5.846967213	7.972000336	4.442708594	3.319672131	0.712192	0.270491803		3.319672131
Eline		2018	October	October_18	Hypolimnion	Bulk		2		-0.33	-0.00000033	-0.00396				-0.000324856	-3						12.2				3.3																	
Eline		2018	October	October_18	Hypolimnion	Bulk		3		-0.22	-0.00000022	-0.00264				-0.000216571	-2						12.2				3.3																	
Eline		2018	October	October_18	Hypolimnion	Bulk		4		NA													12.2				3.3																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	LMW	Hypo LMW	1		-0.27	-0.00000027	-0.00324	-0.00396			-0.000627907	-2	-0.000767	0.000313		-41	100	5.16	4.17	22.4	14.8	0.4				0.18	0.18	0.032	0.016	0.001	3.488372093	3.100775194	11.25	5.625	3.488372093	0.67037	0.07751938		3.488372093
Eline	17.10.2018	2018	October	October_18	Hypolimnion	LMW		2		-0.42	-0.00000042	-0.00504				-0.000976744	-4						5.16				0.4																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	LMW		3		-0.46	-0.00000046	-0.00552				-0.001069767	-4						5.16				0.4																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	LMW		4		-0.17	-0.00000017	-0.00204				-0.000395349	-1						5.16				0.4																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	HMW	Hypo HMW	1		-0.72	-0.00000072	-0.00864	-0.006	-0.0010368	-1.5	-0.000624277	-6	-0.000434	0.00013		-30	56	13.84	3.94	36.1	15.1	3.9				0.641	0.456333333	0.143	0.078333	0.008	4.63150289	5.659898844	8.183013545	4.482517483	3.297206163	0.711908	0.281791908		3.297206166
Eline	17.10.2018	2018	October	October_18	Hypolimnion	HMW		2		-0.47	-0.00000047	-0.00564		-0.0006768	-1	-0.000407514	-4						13.84				3.9																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	HMW		3		-0.4	-0.0000004	-0.0048		-0.000576	-0.8	-0.000346821	-4						13.84				3.9																	
Eline	17.10.2018	2018	October	October_18	Hypolimnion	HMW		4		-0.41	-0.00000041	-0.00492		-0.0005904	-0.9	-0.000355491	-4						13.84				3.9																	
Sarah		2019	May	May_19	Inlet	Bulk	Inlet Bulk	1		-0.09	-0.00000009	-0.00108	-0.00096			-8.59E-05		-0.000076	0.000008		-10		12.57	5.13	7.14		3.817	0.052			0.601	0.443	0.142	0.077	0.007	4.758511481	6.096595408	7.805194805	4.232394366	3.507521774		0.303659507	0.004136834	
Sarah		2019	May	May_19	Inlet	Bulk		2		-0.08	-0.00000008	-0.00096				-7.64E-05							12.57																					
Sarah		2019	May	May_19	Inlet	Bulk		3		-0.07	-0.00000007	-0.00084				-6.68E-05							12.57																					
Sarah		2019	May	May_19	Inlet	Bulk		4		-0.08	-0.00000008	-0.00096				-7.64E-05							12.57																					
Sarah	21.05.2019	2019	May	May_19	Inlet	LMW	Inlet LMW	1		-2.1	-0.0000021	-0.0252	-0.02781			-0.011596871		-0.012798	0.000955		-7	100	2.17	5.8	2.23		0.377	0.008			0.055	0.037	0.01	0.005	0.001	2.619047619	2.380952381	11	5.5	1.761904762		0.173732719	0.003686636	
Sarah	21.05.2019	2019	May	May_19	Inlet	LMW		2		-2.38	-0.00000238	-0.02856				-0.01314312							2.17																					
Sarah	21.05.2019	2019	May	May_19	Inlet	LMW		3		-2.28	-0.00000228	-0.02736				-0.012590888							2.17																					
Sarah	21.05.2019	2019	May	May_19	Inlet	LMW		4		-2.51	-0.00000251	-0.03012				-0.013861022							2.17																					
Sarah	21.05.2019	2019	May	May_19	Inlet	HMW	Inlet HMW	1		-0.79	-0.00000079	-0.00948	-0.0093			-0.000647984		-0.000636	0.000016		-2	5	14.63	4.79	8.09		3.867	0.065			0.68	0.502	0.163	0.089	0.01	4.25	5.5625	7.640449438	4.171779141	3.1375		0.264319891	0.004442925	
Sarah	21.05.2019	2019	May	May_19	Inlet	HMW		2		-0.79	-0.00000079	-0.00948				-0.000647984							14.63																					
Sarah	21.05.2019	2019	May	May_19	Inlet	HMW		3		-0.75	-0.00000075	-0.009				-0.000615174							14.63																					
Sarah	21.05.2019	2019	May	May_19	Inlet	HMW		4		-0.77	-0.00000077	-0.00924				-0.000631579							14.63																					
Sarah		2019	May	May_19	Outlet	Bulk	Outlet Bulk	1		-0.83	-0.00000083	-0.00996	-0.0102			-0.001082609		-0.001109	0.000143		-13		9.2	5.35	4.89		3.103	0.064			0.402	0.289	0.095	0.055	0.01	4.369565217	5.97826087	7.309090909	4.231578947	3.141304348		0.337282609	0.006956522	
Sarah		2019	May	May_19	Outlet	Bulk		2		-0.89	-0.00000089	-0.01068				-0.00116087							9.2																					
Sarah		2019	May	May_19	Outlet	Bulk		3		-0.97	-0.00000097	-0.01164				-0.001265217							9.2																					
Sarah		2019	May	May_19	Outlet	Bulk		4		-0.71	-0.00000071	-0.00852				-0.000926087							9.2																					
Sarah	21.05.2019	2019	May	May_19	Outlet	LMW	Outlet LMW	1		-0.47	-0.00000047	-0.00564	-0.00966			-0.002266881		-0.003883	0.002216		-57	30	2.49	5.96	2.8		0.501	0.015			0.069	0.046	0.012	0.005	0.002	3.285714286	2.380952381	13.8	5.75	2.19047619		0.201204819	0.006024096	
Sarah	21.05.2019	2019	May	May_19	Outlet	LMW		2		-0.53	-0.00000053	-0.00636				-0.00255627							2.49																					
Sarah	21.05.2019	2019	May	May_19	Outlet	LMW		3		-1.47	-0.00000147	-0.01764				-0.007090032							2.49																					
Sarah	21.05.2019	2019	May	May_19	Outlet	LMW		4		-0.75	-0.00000075	-0.009				-0.003617363							2.49																					
Sarah	21.05.2019	2019	May	May_19	Outlet	HMW	Outlet HMW	1		-0.89	-0.00000089	-0.01068	-0.01344			-0.001004704		-0.001264	0.000316		-25	10	10.63	5.33	5.81		3.509	0.067			0.472	0.34	0.111	0.062	0.009	4.140350877	5.438596491	7.612903226	4.252252252	2.98245614		0.330103481	0.006302916	
Sarah	21.05.2019	2019	May	May_19	Outlet	HMW		2		-0.87	-0.00000087	-0.01044				-0.000982126							10.63																					
Sarah	21.05.2019	2019	May	May_19	Outlet	HMW		3		-1.41	-0.00000141	-0.01692				-0.001591722							10.63																					
Sarah	21.05.2019	2019	May	May_19	Outlet	HMW		4		-1.31	-0.00000131	-0.01572				-0.001478833							10.63																					
Sarah		2019	May	May_19	Hypolimnion	Bulk	Hypo Bulk	1		-0.97	-0.00000097	-0.01164	-0.01071			-0.001246119		-0.001147	0.000105		-9		9.3	5.19	5.08		2.718	0.09			0.423	0.307	0.1	0.056	0.008	4.572972973	6.054054054	7.553571429	4.23	3.318918919		0.292258065	0.009677419	
Sarah		2019	May	May_19	Hypolimnion	Bulk		2		-0.93	-0.00000093	-0.01116				-0.001194733							9.3																					
Sarah		2019	May	May_19	Hypolimnion	Bulk		3		-0.89	-0.00000089	-0.01068				-0.001143347							9.3																					
Sarah		2019	May	May_19	Hypolimnion	Bulk		4		-0.78	-0.00000078	-0.00936				-0.001002034							9.3																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	LMW	Hypo LMW	1		-1	-0.000001	-0.012	-0.02211			-0.00338696		-0.00624	0.006797		-109	49	3.543	5.71	3.2		0.926	0.029			0.123	0.085	0.024	0.012	0.002	4.24137931	4.137931034	10.25	5.125	2.931034483		0.261360429	0.008185154	
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	LMW		2		-1.04	-0.00000104	-0.01248				-0.003522439							3.543																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	LMW		3		-0.5	-0.0000005	-0.006				-0.00169348							3.543																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	LMW		4		-4.83	-0.00000483	-0.05796				-0.016359018							3.543																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	HMW	Hypo HMW	1		-1.55	-0.00000155	-0.0186	-0.01794			-0.001818182		-0.001754	0.000043		-2	14	10.23	5.19	5.93		2.911	0.101			0.466	0.338	0.111	0.062	0.009	3.883333333	5.166666667	7.516129032	4.198198198	2.816666667		0.28455523	0.009872923	
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	HMW		2		-1.48	-0.00000148	-0.01776				-0.00173607							10.23																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	HMW		3		-1.48	-0.00000148	-0.01776				-0.00173607							10.23																					
Sarah	21.05.2019	2019	May	May_19	Hypolimnion	HMW		4		-1.47	-0.00000147	-0.01764				-0.00172434							10.23																					
Sarah		2019	June	June_19	Inlet	Bulk	Inlet Bulk	1		-0.486589	-4.87E-07	-0.005839068	-0.005139864			-0.000360436		-0.000317	0.000033		-10		16.2	4.5	9.04		5.693	0.069			0.734	0.54	0.17	0.091	0.008	4.530864198	5.617283951	8.065934066	4.317647059	3.333333333		0.351419753	0.004259259	
Sarah		2019	June	June_19	Inlet	Bulk		2		-0.400581	-4.01E-07	-0.004806972				-0.000296727							16.2																					
Sarah		2019	June	June_19	Inlet	Bulk		3		-0.439403	-4.39E-07	-0.005272836				-0.000325484							16.2																					
Sarah		2019	June	June_19	Inlet	Bulk		4		-0.386715	-3.87E-07	-0.00464058				-0.000286456							16.2																					
Sarah	07.06.2019	2019	June	June_19	Inlet	LMW	Inlet LMW	1		-1.69191	-1.69E-06	-0.02030292	-0.016335516			-0.005303793		-0.004267	0.001388		-33	100	3.828	5.07	3.38		0.674	0.017			0.116	0.079	0.021	0.01	0.001	3.03030303	2.612330199	11.6	5.523809524	2.063740857		0.176071055	0.004440961	
Sarah	07.06.2019	2019	June	June_19	Inlet	LMW		2		-1.7904	-1.79E-06	-0.0214848				-0.005612539							3.828																					
Sarah	07.06.2019	2019	June	June_19	Inlet	LMW		3		-1.038091	-1.04E-06	-0.012457092				-0.003254204							3.828																					
Sarah	07.06.2019	2019	June	June_19	Inlet	LMW		4		-0.924771	-9.25E-07	-0.011097252				-0.002898969							3.828																					
Sarah	07.06.2019	2019	June	June_19	Inlet	HMW	Inlet HMW	1		-0.515892	-5.16E-07	-0.006190704	-0.006036258			-0.000329293		-0.000321	0.000016		-5	8	18.8	4.43	11.03		6.331	0.076			0.858	0.633	0.201	0.108	0.01	4.563829787	5.744680851	7.944444444	4.268656716	3.367021277		0.336755319	0.004042553	
Sarah	07.06.2019	2019	June	June_19	Inlet	HMW		2		-0.503395	-5.03E-07	-0.00604074				-0.000321316							18.8																					
Sarah	07.06.2019	2019	June	June_19	Inlet	HMW		3		-0.525279	-5.25E-07	-0.006303348				-0.000335284							18.8																					
Sarah	07.06.2019	2019	June	June_19	Inlet	HMW		4		-0.46752	-4.68E-07	-0.00561024				-0.000298417							18.8																					
Sarah		2019	June	June_19	Outlet	Bulk	Outlet Bulk	1		-0.415027	-4.15E-07	-0.004980324	-0.005525958			-0.00052585		-0.000583	0.000187		-32		9.471	5.62	5.26		3.241	0.08			0.422	0.303	0.097	0.054	0.007	4.455706895	5.701615458	7.814814815	4.350515464	3.199239785		0.342202513	0.008446838	
Sarah		2019	June	June_19	Outlet	Bulk		2		-0.4013	-4.01E-07	-0.0048156				-0.000508457							9.471																					
Sarah		2019	June	June_19	Outlet	Bulk		3		-0.347948	-3.48E-07	-0.004175376				-0.000440859							9.471																					
Sarah		2019	June	June_19	Outlet	Bulk		4		-0.677711	-6.78E-07	-0.008132532				-0.000858677							9.471																					
