Student	Date	Year	Month1	Month	Lake	Fraction	group	Replica	t0	Rate_ori	Rate_mol	Rate_C_mg	Rate_C_mg_ave	mg C		Rate.DOC	Modelled	Rate.DOC.ave	Rate.DOC.stdev		Rate.DOC.RSD	Rel.rate.DOC	DOC	pH	Cond	Temp-Cond	Hg	MeHg	Abs204	Abs220	Abs254	Abs285	Abs365	Abs400	Abs600	sUVa	sVISa	SAR	E2_E3	Lability	HI	Hg.DOC	MeHg.DOC	HI_C
Elena	25.01.2017	2017	January	January_17	Inlet	HMW	Inlet HMW	1		-0.37	-0.00000037	-0.00444	-0.0048			-0.0003379	-3	-0.000365	0.000039		-11	13	13.14	5.05	16.6	22.3	1.92	0.11	0.666	1.347	0.923	1.592	0.215	0.115	0.012	7	8.8	8.026086957	4.293023256	12.11567732	0.722	0.146118721	0.001750381	12.11567732
Elena	25.01.2017	2017	January	January_17	Inlet	HMW		2		-0.43	-0.00000043	-0.00516				-0.000392694	-4						13.14	5.05	16.6	22.3	1.92	0.023																
Elena	25.01.2017	2017	January	January_17	Inlet	HMW		3		NA													13.14	5.05	16.6	22.3	1.92	0.023																
Elena		2017	January	January_17	Outlet	Bulk	Outlet Bulk	1		NA			-0.00276					-0.000202	0.000025		-12		13.67	5.12	14.2	22.9	2.4	0.09	0.388	0.777	0.541	0.927	0.124	0.07	0.008	3.957571324	5.1	7.728571429	4.362903226	6.78127286	0.717	0.175566935	0.004828091	6.78127286
Elena		2017	January	January_17	Outlet	Bulk		2		-0.21	-0.00000021	-0.00252				-0.000184345	-2						13.67	5.12	14.2	22.9	2.4	0.066																
Elena		2017	January	January_17	Outlet	Bulk		3		-0.25	-0.00000025	-0.003				-0.000219459	-2						13.67	5.12	14.2	22.9	2.4	0.066																
Elena	25.01.2017	2017	January	January_17	Outlet	LMW	Outlet LMW	1	10	-0.26	-0.00000026	-0.00312	-0.00312			-0.000722222	-2	-0.001756				63	4.32	5.12	14.2	22.9	0.3	0.01	0.143	0.3	0.209	0.362	0.04	0.02	0.001	4.8	4.6	10.45	5.225	8.37962963	0.684	0.069444444	0.001388889	8.37962963
Elena	25.01.2017	2017	January	January_17	Outlet	LMW		2		NA													4.32	5.12	14.2	22.9	0.3	0.006																
Elena	25.01.2017	2017	January	January_17	Outlet	LMW		3		NA													4.32	5.12	14.2	22.9	0.3	0.006																
Elena	25.01.2017	2017	January	January_17	Outlet	HMW	Outlet HMW	1	10	-0.4	-0.0000004	-0.0048	-0.0063			-0.000293399	-4	-0.000391	0.000092		-24	14	16.36	5.09	17.63	22.4	2.7	0.11	0.483	0.956	0.672	1.117	0.156	0.08	0.011	4.1	4.9	8.4	4.307692308	6.827628362	0.719	0.165036675	0.001283619	6.827628362
Elena	25.01.2017	2017	January	January_17	Outlet	HMW		2	10	-0.65	-0.00000065	-0.0078				-0.000476773	-6						16.36	5.09	17.63	22.4	2.7	0.021																
Elena	25.01.2017	2017	January	January_17	Outlet	HMW		3															16.36	5.09	17.63	22.4	2.7	0.021																
Stevie		2017	September	September_17	Inlet	Bulk	Inlet Bulk	1		-0.29	-0.00000029	-0.00348				#DIV/0!	-3						18		21.4	19.7					0.723		0.169	0.091	0.007	4.034598214	5.078125	7.945054945	4.278106509	0				
Stevie		2017	September	September_17	Inlet	Bulk		2		-0.53	-0.00000053	-0.00636				#DIV/0!	-5								21.4	19.7																		
Stevie		2017	September	September_17	Inlet	Bulk		3		-0.41	-0.00000041	-0.00492				#DIV/0!	-4								21.4	19.7																		
Stevie	22.09.2017	2017	September	September_17	Inlet	LMW	Inlet LMW	1		-0.91	-0.00000091	-0.01092				#DIV/0!	-8						7.9		9.07	19.3	0.77	0.007			0.279		0.06	0.032	0.004	3.53164557	4.050632911	8.71875	4.65	0		0.097468354	0.000886076	
Stevie	22.09.2017	2017	September	September_17	Inlet	LMW		2		-0.54	-0.00000054	-0.00648				#DIV/0!	-5								9.07	19.3	0.77	0.007																
Stevie	22.09.2017	2017	September	September_17	Inlet	LMW		3		-0.49	-0.00000049	-0.00588				#DIV/0!	-4								9.07	19.3	0.77	0.007																
Stevie	22.09.2017	2017	September	September_17	Inlet	HMW	Inlet HMW	1		-0.74	-0.00000074	-0.00888				#DIV/0!	-6						22.4		19.71	18.3	2.78	0.028			0.927		0.225	0.124	0.016	4.136546185	5.533244087	7.475806452	4.12	0		0.124051763	0.001249442	
Stevie	22.09.2017	2017	September	September_17	Inlet	HMW		2		-0.65	-0.00000065	-0.0078				#DIV/0!	-6								19.71	18.3	2.78	0.028																
