"","Station","Year","TOC_m_mean","TOC_m_sd","THg_m_mean","THg_m_sd","sUVa_m_mean","sUVa_m_sd","THGTOC_m2_mean","THGTOC_m2_sd","month_mean","month_sd"
"1","Inlet","2016",13.5692307692308,3.18234311354192,3.26720908333333,0.854203023932246,4.61030565003032,0.285381252299961,0.256281795512253,0.0914978489569478,7.06666666666667,3.41146526262473
"2","Inlet","2017",12.9142857142857,3.05887288011504,3.04166666666667,0.736648841139057,4.58409335571029,0.226771108063243,0.234019996107979,0.0324748039266113,5.72222222222222,3.5281315761038
"3","Inlet","2018",12.8454545454545,3.77924956475849,2.57272727272727,0.382337309429538,4.40914305179562,0.398096611138266,0.214314856247909,0.0708857558408157,6.85714285714286,3.61316274957897
"4","Inlet","2019",14.8666666666667,3.87292186979337,3.25833333333333,0.666685605791588,4.30130682320175,0.266162868875512,0.236083455082891,0.0619523582170153,6.35294117647059,2.97785947600345
"5","Inlet","2020",13.225,3.86878533909546,3.11666666666667,0.778592358430303,4.3516940282142,0.280074965738487,0.245277249155335,0.0628645716534784,6.5,3.60555127546399
"6","Inlet","2021",11.5888888888889,2.42458472962095,2.98222222222222,0.574538462110627,4.62033924199774,0.210356530133461,0.261255456181057,0.0456426860086195,6.22222222222222,3.80058475033046
"7","Outlet","2016",11.2188679245283,1.60108816407582,3.54030291666667,0.350657781398035,4.53027860253956,0.247027231553444,0.320287493847159,0.057923182896177,6.6,3.44587783794987
"8","Outlet","2017",12.7277777777778,1.6270608605781,3.75782933333333,0.702718916208043,4.5711430947839,0.257523375865377,0.295094411035501,0.0485652836549553,6.46428571428571,3.53663571884244
"9","Outlet","2018",11.492,2.61719900126928,3.14919218181818,0.381683736789719,4.28462342660316,0.343779632920251,0.285486852368059,0.054582067257984,6.77358490566038,3.56069088711923
"10","Outlet","2019",12.3615384615385,1.99824961110859,3.44416666666667,0.51348113771382,4.33146309321276,0.250553268590776,0.284902553738593,0.0608416259940269,6.55555555555556,3.41288715637338
"11","Outlet","2020",11.5884615384615,1.3809138557213,3.29083333333333,0.648136606438844,4.37478636407748,0.305408842897736,0.287804348826789,0.0565128171063407,6.51923076923077,3.45554617921418
"12","Outlet","2021",9.97307692307692,1.97792874280493,3.4125,0.696525467784723,4.40055165484283,0.357418108263894,0.341177939558882,0.0449600489784653,6.5,3.43282882263159
