Station.ID	water_sample_id	sample_date	wavelength	abs_per_cm
108	653240	28.08.2016 11:07	360	0.144168
108	653240	28.08.2016 11:07	365	0.133014
108	653240	28.08.2016 11:07	410	0.063498
108	653292	05.09.2016 11:04	254	0.592488
108	653292	05.09.2016 11:04	360	0.148614
108	653292	05.09.2016 11:04	365	0.137262
108	653292	05.09.2016 11:04	410	0.066006
108	654303	11.09.2016 11:21	254	0.554844
108	654303	11.09.2016 11:21	360	0.137196
108	654303	11.09.2016 11:21	365	0.126654
108	654303	11.09.2016 11:21	410	0.060456
108	654445	18.09.2016 13:21	254	0.539802
108	654445	18.09.2016 13:21	360	0.134628
108	654445	18.09.2016 13:21	365	0.1242726
108	654445	18.09.2016 13:21	410	0.060354
108	654449	24.09.2016 13:17	254	0.520308
108	654449	24.09.2016 13:17	360	0.12849
108	654449	24.09.2016 13:17	365	0.1186926
108	654449	24.09.2016 13:17	410	0.05805
108	654639	02.10.2016 10:59	254	0.52737
108	654639	02.10.2016 10:59	360	0.133158
108	654639	02.10.2016 10:59	365	0.122814
108	654639	02.10.2016 10:59	410	0.059232
108	655880	09.10.2016 09:54	254	0.531492
108	655880	09.10.2016 09:54	360	0.136272
108	655880	09.10.2016 09:54	365	0.125766
108	655880	09.10.2016 09:54	410	0.06153
108	655808	17.10.2016 12:59	254	0.554334
108	655808	17.10.2016 12:59	360	0.142518
108	655808	17.10.2016 12:59	365	0.131754
108	655808	17.10.2016 12:59	410	0.064302
108	655752	20.10.2016 12:00	254	0.51228
108	655752	20.10.2016 12:00	360	0.13101
108	655752	20.10.2016 12:00	365	0.120912
108	655752	20.10.2016 12:00	410	0.05961
108	655930	24.10.2016 13:44	254	0.537132
108	655930	24.10.2016 13:44	360	0.137574
108	655930	24.10.2016 13:44	365	0.127152
108	655930	24.10.2016 13:44	410	0.061956
108	655920	30.10.2016 13:34	254	0.541788
108	655920	30.10.2016 13:34	360	0.13713
108	655920	30.10.2016 13:34	365	0.126546
108	655920	30.10.2016 13:34	410	0.061908
108	656179	07.11.2016 20:45	254	0.546016
108	656179	07.11.2016 20:45	360	0.138352
108	656179	07.11.2016 20:45	365	0.127784
108	656179	07.11.2016 20:45	410	0.06172
108	656181	13.11.2016 13:56	254	0.5763
108	656181	13.11.2016 13:56	360	0.145788
108	656181	13.11.2016 13:56	365	0.134508
108	656181	13.11.2016 13:56	410	0.064384
108	656180	19.11.2016 13:36	254	0.571304
108	656180	19.11.2016 13:36	360	0.1447
108	656180	19.11.2016 13:36	365	0.133564
108	656180	19.11.2016 13:36	410	0.063824
108	656701	27.11.2016 15:34	254	0.562948
108	656701	27.11.2016 15:34	360	0.1422
108	656701	27.11.2016 15:34	365	0.13078
108	656701	27.11.2016 15:34	410	0.061508
108	656379	04.12.2016 13:32	254	0.569704
108	656379	04.12.2016 13:32	360	0.144248
108	656379	04.12.2016 13:32	365	0.13272
108	656379	04.12.2016 13:32	410	0.062292
108	656487	11.12.2016 13:36	254	0.579868
108	656487	11.12.2016 13:36	360	0.14622
108	656487	11.12.2016 13:36	365	0.1345
108	656487	11.12.2016 13:36	410	0.062748
108	656480	18.12.2016 13:26	254	0.618936
108	656480	18.12.2016 13:26	360	0.156728
108	656480	18.12.2016 13:26	365	0.144488
108	656480	18.12.2016 13:26	410	0.067584
108	656492	27.12.2016 15:18	254	0.651044
108	656492	27.12.2016 15:18	360	0.165736
108	656492	27.12.2016 15:18	365	0.152904
108	656492	27.12.2016 15:18	410	0.072632
108	656482	01.01.2017 13:41	254	0.656656
108	656482	01.01.2017 13:41	360	0.16584
108	656482	01.01.2017 13:41	365	0.152836
108	656482	01.01.2017 13:41	410	0.072008
108	656549	08.01.2017 13:33	254	0.649772
