station_id,station_code,station_name,sample_date,depth1,depth2,DOC_mg/L C,Hg (IVL)Filtrert_ng/l,Hg(IVL)_ng/l,Hg_ng/l,MeHg(IVL) Filtrert_ng/l,MeHg(IVL)_ng/l,MeHg_ng/l,TOC_mg C/l,UVABS254(filtrert+ufiltrert)_Abs/cm,UVABS254(ufiltrert)_Abs/cm,UVABS365(filtrert+ufiltrert)_Abs/cm,UVABS365(ufiltrert)_Abs/cm,UVABS410(filtrert+ufiltrert)_Abs/cm,UVABS410(ufiltrert)_Abs/cm
108,LAE01,"Langtjern, utløp",2016-12-27 15:18:00,0.0,0.0,,,,,,,,13.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-01 13:41:00,0.0,0.0,,,,,,,,13.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-08 13:33:00,0.0,0.0,,,,,,,,13.8,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-15 12:49:00,0.0,0.0,,,,,,,,13.4,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-22 12:53:00,0.0,0.0,,,,,,,,13.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-25 00:00:00,0.0,0.0,,,,,,,,13.7,,,,,,
108,LAE01,"Langtjern, utløp",2017-01-29 13:05:00,0.0,0.0,,,,,,,,14.2,,,,,,
108,LAE01,"Langtjern, utløp",2017-02-05 13:39:00,0.0,0.0,,,,,,,,13.0,,,,,,
108,LAE01,"Langtjern, utløp",2017-02-11 14:47:00,0.0,0.0,,,,,,,,13.1,,,,,,
108,LAE01,"Langtjern, utløp",2017-02-19 14:40:00,0.0,0.0,,,,,,,,13.2,,,,,,
108,LAE01,"Langtjern, utløp",2017-02-25 13:53:00,0.0,0.0,,,,,,,,13.2,,,,,,
108,LAE01,"Langtjern, utløp",2017-03-06 16:07:00,0.0,0.0,,,,,,,,12.4,,,,,,
108,LAE01,"Langtjern, utløp",2017-03-11 14:25:00,0.0,0.0,,,,,,,,12.7,,,,,,
108,LAE01,"Langtjern, utløp",2017-03-18 14:57:00,0.0,0.0,,,,,,,,12.6,,,,,,
