Station.ID	Station.Code	Station	Date	TOC_m	THg_m	MeHg_m	X254nm	X285nm	X365nm	X400nm	THg_s	MeHg_s	DOC_s	X254nm_s	X285nm_s	X365nm_s	X400nm_s	labile_m	labile_s	sUVa_m	sUVa_s	sVISa_m	sVISa_s	SAR_m	E2_E3_m	E2_E3_s	THGTOC_m	THGDOC_s	MeHGTOC_m	MeHGDOC_s	MeHg_rel_m
108	LAE01	Outlet	12.06.2016	8.8	NA	NA	0.3831876	0.270704	0.083732	0.045556	NA	NA	NA	NA	NA	NA	NA	3.076182	NA	4.354405	NA	5.176818	NA	8411.353	4.576358	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	19.06.2016	9.2	NA	NA	0.383968	0.270336	0.083284	0.04548	NA	NA	NA	NA	NA	NA	NA	2.938435	NA	4.173565	NA	4.943478	NA	8442.568	4.610345	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	25.06.2016	8.7	3.12	0.06365176	0.362904	0.255516	0.078688	0.043076	NA	NA	NA	NA	NA	NA	NA	2.936966	NA	4.17131	NA	4.951264	NA	8424.738	4.611936	NA	0.3586207	NA	0.007316295	NA	2.0401206
108	LAE01	Outlet	03.07.2016	11.4	NA	NA	0.51192	0.364604	0.114512	0.063044	NA	NA	NA	NA	NA	NA	NA	3.198281	NA	4.490526	NA	5.530175	NA	8120.043	4.470449	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	10.07.2016	11.7	NA	NA	0.478152	0.340384	0.107224	0.059164	NA	NA	NA	NA	NA	NA	NA	2.909265	NA	4.086769	NA	5.056752	NA	8081.807	4.459375	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	17.07.2016	11.5	NA	NA	0.487496	0.346192	0.108768	0.060156	NA	NA	NA	NA	NA	NA	NA	3.010365	NA	4.239096	NA	5.230957	NA	8103.863	4.48198	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	23.07.2016	11.3	NA	NA	0.47528	0.336092	0.106464	0.059772	NA	NA	NA	NA	NA	NA	NA	2.974265	NA	4.206018	NA	5.289558	NA	7951.549	4.464232	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	31.07.2016	11.8	3.23	0.07042039	0.51824	0.367196	0.115956	0.064644	NA	NA	NA	NA	NA	NA	NA	3.111831	NA	4.391864	NA	5.478305	NA	8016.831	4.469281	NA	0.2737288	NA	0.00596783	NA	2.1801979
108	LAE01	Outlet	07.08.2016	12.3	NA	NA	0.531984	0.380844	0.120876	0.066834	NA	NA	NA	NA	NA	NA	NA	3.096293	NA	4.325073	NA	5.433659	NA	7959.781	4.401072	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	14.08.2016	13.4	NA	NA	0.63315	0.453222	0.144714	0.080574	NA	NA	NA	NA	NA	NA	NA	3.382254	NA	4.725	NA	6.012985	NA	7857.994	4.375181	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	21.08.2016	12.8	NA	NA	0.589626	0.419616	0.13404	0.074814	NA	NA	NA	NA	NA	NA	NA	3.27825	NA	4.606453	NA	5.844844	NA	7881.225	4.398881	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	28.08.2016	12.8	3.262757	0.08	0.57558	0.412308	0.133014	0.074826	NA	NA	NA	NA	NA	NA	NA	3.221156	NA	4.496719	NA	5.845781	NA	7692.246	4.327214	NA	0.2549029	NA	0.00625	NA	2.4519138
108	LAE01	Outlet	05.09.2016	12.5	NA	NA	0.592488	0.423612	0.137262	0.07752	NA	NA	NA	NA	NA	NA	NA	3.388896	NA	4.739904	NA	6.2016	NA	7643.034	4.316475	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	11.09.2016	12.3	NA	NA	0.554844	0.394734	0.126654	0.071172	NA	NA	NA	NA	NA	NA	NA	3.20922	NA	4.510927	NA	5.786341	NA	7795.819	4.380785	NA	NA	NA	NA	NA	NA
NA		Outlet	15.09.2016	NA	NA	NA	NA	NA	NA	NA	2.91	0.07	12.22	0.417	0.296	0.092	0.051	NA	2.422259	NA	3.412439	NA	4.173486	NA	NA	4.532609	NA	0.2381342	NA	0.005728314	NA
108	LAE01	Outlet	18.09.2016	12	NA	NA	0.539802	0.383958	0.1242726	0.070416	NA	NA	NA	NA	NA	NA	NA	3.19965	NA	4.49835	NA	5.868	NA	7665.9	4.343693	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	19.09.2016	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	24.09.2016	11.8	3.780215	0.1	0.520308	0.36954	0.1186926	0.067464	NA	NA	NA	NA	NA	NA	NA	3.131695	NA	4.40939	NA	5.717288	NA	7712.38	4.38366	NA	0.3203572	NA	0.008474576	NA	2.6453525
108	LAE01	Outlet	02.10.2016	11.7	NA	NA	0.52737	0.377454	0.122814	0.069288	NA	NA	NA	NA	NA	NA	NA	3.226103	NA	4.507436	NA	5.922051	NA	7611.275	4.294054	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	09.10.2016	11.2	NA	NA	0.531492	0.381648	0.125766	0.071658	NA	NA	NA	NA	NA	NA	NA	3.407571	NA	4.745464	NA	6.398036	NA	7417.064	4.226039	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	17.10.2016	10.7	NA	NA	0.554334	0.397986	0.131754	0.075108	NA	NA	NA	NA	NA	NA	NA	3.719495	NA	5.180692	NA	7.019439	NA	7380.492	4.207341	NA	NA	NA	NA	NA	NA
108	LAE01	Outlet	20.10.2016	11.3	NA	NA	0.51228	0.366858	0.120912	0.069264	NA	NA	NA	NA	NA	NA	NA	3.246531	NA	4.533451	NA	6.129558	NA	7396.05	4.2368	NA	NA	NA	NA	NA	NA
