"","Station.ID","Station.Code","Station","Date","TOC_m","THg_m","MeHg_m","X254nm","X285nm","X365nm","X400nm","THg_s","MeHg_s","DOC_s","X254nm_s","X285nm_s","X365nm_s","X400nm_s","labile_m","labile_s","sUVa_m","sUVa_s","sVISa_m","sVISa_s","SAR_m","E2_E3_m","E2_E3_s","THGTOC_m","THGDOC_s","MeHGTOC_m","MeHGDOC_s","MeHg_rel_m","Year","month_day"
"17",108,"LAE01","Outlet",2016-04-24,8.2,3.565393,0.02447099,0.367656,0.266204,0.086616,0.048308,NA,NA,NA,NA,NA,NA,NA,3.24639024390244,NA,4.48360975609756,NA,5.89121951219512,NA,7610.66490022357,4.24466611249654,NA,0.434804024390244,NA,0.00298426707317073,NA,0.686347620023936,"2016",2024-04-24
"18",108,"LAE01","Outlet",2016-05-01,7.7,NA,NA,0.374496,0.271884,0.088898,0.049638,NA,NA,NA,NA,NA,NA,NA,3.53096103896104,NA,4.86358441558442,NA,6.44649350649351,NA,7544.5424876103,4.21264820355913,NA,NA,NA,NA,NA,NA,"2016",2024-05-01
"19",108,"LAE01","Outlet",2016-05-08,6.5,NA,NA,0.297112,0.21596,0.070436,0.03986,NA,NA,NA,NA,NA,NA,NA,3.32246153846154,NA,4.57095384615385,NA,6.13230769230769,NA,7453.88861013547,4.21818388324152,NA,NA,NA,NA,NA,NA,"2016",2024-05-08
"20",108,"LAE01","Outlet",2016-05-15,8.8,NA,NA,0.400868,0.291228,0.09582,0.054068,NA,NA,NA,NA,NA,NA,NA,3.30940909090909,NA,4.55531818181818,NA,6.14409090909091,NA,7414.14515055116,4.18355249426007,NA,NA,NA,NA,NA,NA,"2016",2024-05-15
"21",108,"LAE01","Outlet",2016-05-22,8.4,NA,NA,0.396816,0.285792,0.093384,0.053092,NA,NA,NA,NA,NA,NA,NA,3.40228571428571,NA,4.724,NA,6.32047619047619,NA,7474.12039478641,4.24929324081213,NA,NA,NA,NA,NA,NA,"2016",2024-05-22
"22",108,"LAE01","Outlet",2016-05-29,10.3,4.020845,0.05667013,0.43696,0.312444,0.101184,0.057264,NA,NA,NA,NA,NA,NA,NA,3.03343689320388,NA,4.24233009708738,NA,5.55961165048544,NA,7630.62307907237,4.31846932321316,NA,0.390373300970874,NA,0.00550195436893204,NA,1.40940847011014,"2016",2024-05-29
"23",108,"LAE01","Outlet",2016-06-06,9.3,NA,NA,0.42478,0.300836,0.095776,0.05418,NA,NA,NA,NA,NA,NA,NA,3.23479569892473,NA,4.56752688172043,NA,5.8258064516129,NA,7840.16242155777,4.43514032743067,NA,NA,NA,NA,NA,NA,"2016",2024-06-06
"24",108,"LAE01","Outlet",2016-06-12,8.8,NA,NA,0.3831876,0.270704,0.083732,0.045556,NA,NA,NA,NA,NA,NA,NA,3.07618181818182,NA,4.35440454545455,NA,5.17681818181818,NA,8411.35305997015,4.57635790378828,NA,NA,NA,NA,NA,NA,"2016",2024-06-12
"25",108,"LAE01","Outlet",2016-06-19,9.2,NA,NA,0.383968,0.270336,0.083284,0.04548,NA,NA,NA,NA,NA,NA,NA,2.9384347826087,NA,4.1735652173913,NA,4.94347826086957,NA,8442.56816182937,4.61034532443206,NA,NA,NA,NA,NA,NA,"2016",2024-06-19
"26",108,"LAE01","Outlet",2016-06-25,8.7,3.12,0.06365176,0.362904,0.255516,0.078688,0.043076,NA,NA,NA,NA,NA,NA,NA,2.93696551724138,NA,4.17131034482759,NA,4.95126436781609,NA,8424.73767295013,4.61193574623831,NA,0.358620689655172,NA,0.00731629425287356,NA,2.04012051282051,"2016",2024-06-25
