"","Station","month","TOC_m_mean","TOC_m_sd","THg_m_mean","THg_m_sd","sUVa_m_mean","sUVa_m_sd","THGTOC_m2_mean","THGTOC_m2_sd"
"1","Inlet",1,10.8,1.13841995766062,2.1223016,0.460025311056685,4.4246736384493,0.342468664096802,0.195934429569958,0.0409099763321094
"2","Inlet",2,11,1.22311078811365,2.523774,0.509840557876676,4.53040971910379,0.245945470488497,0.228178438968773,0.0244867374511645
"3","Inlet",3,11.5833333333333,0.271416039810964,2.95970066666667,0.740581129656074,4.54506878240808,0.181479163976253,0.256335366765193,0.0683963054227234
"4","Inlet",4,9.8875,2.54751279262174,3.045157,0.50055621316991,4.6312341430192,0.316122124793774,0.338974563513495,0.090341082588988
"5","Inlet",5,11.4428571428571,1.18160504238535,3.30280783333333,0.40349433151925,4.76370986966178,0.162999464133859,0.290493257115152,0.024639060492231
"6","Inlet",6,15.7,2.5521232990068,3.46666666666667,0.728441258212813,4.49936183866772,0.359851170953892,0.225585317679643,0.0281752711175558
"7","Inlet",7,19.06,2.00698779268834,3.7525,0.646806256411712,4.2378886506812,0.484311392430358,0.201522125902795,0.0226212303362107
"8","Inlet",8,18.14,1.61647765218081,3.129772,0.216366032269393,4.29568680159143,0.412865399405878,0.173573947319997,0.0193204629516286
"9","Inlet",9,17.2,2.05791156272567,3.6744694,0.624447822225204,4.42428294324947,0.345739518361663,0.214989969299995,0.0366377768509336
"10","Inlet",10,15.1,2.06688170924221,3.74,0.677679865423195,4.42561850466287,0.141334307176901,0.262338647297109,0.0733919825825703
"11","Inlet",11,12.6,2.34804883538084,2.70857142857143,0.576553801231321,4.31935250658466,0.260511241427384,0.217292004004244,0.0422014025126709
"12","Inlet",12,10.7166666666667,0.949561302216275,2.535,0.306186217847897,4.51804334124554,0.207236100986534,0.2385031246358,0.0389044731844678
"13","Outlet",1,12.6333333333333,1.21370380368396,3.078045,0.772604920064583,4.60165458805355,0.312645927665566,0.234545600081548,0.0540172534960107
"14","Outlet",2,12.2521739130435,1.05953230042891,3.23888983333333,0.364315494033628,4.5752479779159,0.287817906222636,0.271205693520665,0.0401705404661262
"15","Outlet",3,11.8346153846154,0.761547008499046,3.42204466666667,0.375690362810475,4.53730962551296,0.225316310142319,0.297562775293288,0.0440290422923299
"16","Outlet",4,10.8925925925926,1.63211187539003,2.92928957142857,0.402340010737957,4.46457291923304,0.225955113044127,0.310154430551003,0.0747618879241767
"17","Outlet",5,8.61111111111111,1.2122240632355,3.4761905,0.486650549180313,4.53329442443259,0.297341409019163,0.387739189567152,0.0271098371040457
"18","Outlet",6,9.056,1.73014450263555,3.20858216666667,0.662177780647589,4.36118261509191,0.257338128989533,0.350034103829783,0.0349687106971188
"19","Outlet",7,10.0875,1.90658184923336,3.1070498,0.359093718129683,4.14098482436693,0.25587551360863,0.303967502419803,0.0322168689301417
"20","Outlet",8,11.7153846153846,2.12897953164277,3.49710783333333,0.52180842770711,4.13794715969606,0.343749161048236,0.276241156593332,0.0341874429667448
"21","Outlet",9,12.4666666666667,2.10128166017424,3.71022116666667,0.53531553108813,4.25569377672209,0.280329825924106,0.30725427153809,0.039159998620252
"22","Outlet",10,12.8111111111111,1.24725339271578,4.1686464,0.26776269561834,4.46546898415418,0.274989583667847,0.319517851551957,0.0339828056300952
"23","Outlet",11,13.1407407407407,1.09342765905388,3.667205,0.767074679811121,4.40413269108256,0.297128409002341,0.272688059215435,0.0653481140884458
"24","Outlet",12,13.0703703703704,0.881787875596993,3.78771933333333,0.345988406411352,4.49313104055434,0.247403756288705,0.296880166574378,0.0250935718754448
