"","Station","TOC_m_mean","TOC_m_min","TOC_m_max","TOC_m_sd","THg_m_mean","THg_m_min","THg_m_max","THg_m_sd","sUVa_m_mean","sUVa_m_min","sUVa_m_max","sUVa_m_sd","THGTOC_m2_mean","THGTOC_m2_min","THGTOC_m2_max","THGTOC_m2_sd"
"1","Inlet",13.3040540540541,7.3,21,3.46447486341436,3.04921336764706,1.331508,4.65,0.705454296518122,4.47781177199073,3.74114851485149,4.98383561643836,0.303358446022014,0.240716359921441,0.137268865979381,0.464662674418605,0.0636820978450608
"2","Outlet",11.5670926517572,6.4,15.6,2.0832751691725,3.43646057746479,2.24,4.7,0.58110403027613,4.41809252184425,3.40087912087912,5.18557746478873,0.311429776832789,0.302697976621574,0.164705882352941,0.434804024390244,0.0563943742062377
